ID,Measurement Date,Latitude,Longitude,Fixed?,Distance(miles),Bearing,Direction,Type,Derived?,Value,Unit,Source,Description,Meter,Probe
142889,3/16/11 19:48,35.74111,139.360948,No,148.5358497,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
142891,3/16/11 19:47,35.741207,139.360756,No,148.5372785,219,SW,Gamma,Yes,0.027,mR/hr,DOE,Field Team: No wind ;,Health Physics Kit,ADM-300
142893,3/15/11 16:55,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.648648649,uCi/m2,DOE,Field Team: Swipe; Description: Top of Embassy Roof N.E. Corner; Assessment: swipe;,Health Physics Kit,BP-100
142895,3/15/11 17:00,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0,uCi/m2,DOE,Field Team: Swipe; Description: Top of Embassy Roof Center; Assessment: swipe;,Health Physics Kit,BP-100
142897,3/15/11 13:00,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.184684685,uCi/m2,DOE,Field Team: Swipe; Description: Top of Embassy Roof South End; Assessment: swipe;,Health Physics Kit,BP-100
142899,3/15/11 13:10,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.144144144,uCi/m2,DOE,Field Team: Swipe; Description: Top of Embassy Roof North East; Assessment: swipe;,Health Physics Kit,BP-100
142901,3/16/11 21:25,35.741157,139.360978,No,148.532261,219,SW,Gamma,Yes,0.024,mR/hr,DOE,,Health Physics Kit,ADM-300
142903,3/16/11 21:18,35.741202,139.360832,No,148.5349046,219,SW,Gamma,Yes,0.014,mR/hr,DOE,"Field Team: ""No wind ;",Health Physics Kit,ADM-300
142905,3/16/11 21:03,35.741145,139.360994,No,148.532354,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
142907,3/16/11 21:02,35.741168,139.360878,No,148.5351449,219,SW,Gamma,Yes,0.02,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
142909,3/16/11 20:50,35.741127,139.360999,No,148.5331547,219,SW,Gamma,Yes,0.028,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
142911,3/16/11 20:48,35.741186,139.360713,No,148.5399118,219,SW,Gamma,Yes,0.021,mR/hr,DOE,Field Team: No WIND ;,Health Physics Kit,ADM-300
142913,3/15/11 13:15,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.454954955,uCi/m2,DOE,Field Team: Swipe; Description: Embassy Roof Center; Assessment: swipe;,Health Physics Kit,BP-100
142917,3/15/11 14:17,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.193693694,uCi/m2,DOE,Field Team: Swipe; Description: Embassy Parking Lot Center; Assessment: swipe;,Health Physics Kit,BP-100
